plate_code,region
A,"Banten, kecuali Kabupaten Tangerang (wilayah barat), Tangerang Selatan, dan Kota Tangerang"
AA,"Jawa Tengah eks Karesidenan Kedu: Kabupaten Magelang, Kota Magelang, Purworejo, Kebumen, Temanggung, Wonosobo"
AB,Yogyakarta
AD,"Jawa Tengah, eks Keraton Surakarta: Surakarta, Sukoharjo, Boyolali, Sragen, Karanganyar, Wonogiri, Klaten"
AE,"Jawa Timur, eks Karesidenan Madiun: Kabupaten Madiun, Kota Madiun, Ngawi, Magetan, Ponorogo, Pacitan"
AG,"Jawa Timur, eks Karesidenan Kediri: Kabupaten Kediri, Kota Kediri, Kabupaten Blitar, Kota Blitar, Tulungagung, Nganjuk, Trenggalek"
B,"Jakarta, Depok, Kabupaten Tangerang (wilayah timur), Kota Tangerang, Tangerang Selatan, Bekasi, Kabupaten Bekasi"
BA,Sumatra Barat
BB,"Sumatra Utara, wilayah pantai barat: Dairi, Pakpak Bharat, Samosir, Toba Samosir, Tapanuli Utara, Humbang Hasundutan, Tapanuli Tengah, Sibolga, Tapanuli Selatan, Padangsidempuan, Padang Lawas, Padang Lawas Utara, Mandailing Natal, Gunungsitoli, Nias, Nias Selatan, Nias Barat, Nias Utara"
BD,Bengkulu
BE,Lampung
BG,Sumatra Selatan
BH,Jambi
BK,"Sumatra Utara, wilayah pantai timur: Medan, Binjai, Deli Serdang, Langkat, Karo, Serdang Bedagai, Tebing Tinggi, Simalungun, Pematangsiantar, Batubara, Asahan, Tanjungbalai, Labuhan Batu, Labuhan Batu Utara, Labuhan Batu Selatan"
BL,Aceh
BM,Riau
BN,Bangka Belitung
BP,Kepulauan Riau
D,"Jawa Barat, eks Karesidenan Priangan Barat: Kabupaten Bandung, Kota Bandung, Cimahi, Bandung Barat"
DA,Kalimantan Selatan
DB,Daratan Sulawesi Utara
DC,Sulawesi Barat
DD,"Sulawesi Selatan, wilayah selatan: Makassar, Gowa, Maros, Pangkajene Kepulauan, Takalar, Jeneponto, Bulukumba, Bantaeng, Selayar"
DE,Maluku
DG,Maluku Utara
DH,Nusa Tenggara Timur: Timor
DK,Bali
DL,"Sulawesi Utara: Kepulauan Sangihe, Kepulauan Talaud, Kepulauan Sitaro"
DM,Gorontalo
DN,Sulawesi Tengah
DP,"Sulawesi Selatan, wilayah utara: Barru, Parepare, Pinrang, Sidenreng Rappang, Enrekang, Tana Toraja, Toraja Utara, Luwu, Palopo, Luwu Utara, Luwu Timur"
DR,Nusa Tenggara Barat: Pulau Lombok
DT,Sulawesi Tenggara
DW,"Sulawesi Selatan, wilayah tengah: Bone, Soppeng, Wajo, Sinjai"
E,"Jawa Barat, eks Karesidenan Cirebon: Kabupaten Cirebon, Kota Cirebon, Indramayu, Majalengka, Kuningan"
EA,Nusa Tenggara Barat: Pulau Sumbawa
EB,"Nusa Tenggara Timur: Pulau Flores, Alor, Lembata"
ED,Nusa Tenggara Timur: Pulau Sumba
F,"Jawa Barat, eks Karesidenan Bogor: Kabupaten Bogor, Kota Bogor, Cianjur, Kabupaten Sukabumi, Kota Sukabumi"
G,"Jawa Tengah, eks Karesidenan Pekalongan: Kabupaten Pekalongan, Kota Pekalongan, Kabupaten Tegal, Kota Tegal, Brebes, Batang, Pemalang"
H,"Jawa Tengah, eks Karesidenan Semarang: Kabupaten Semarang, Kota Semarang, Salatiga, Kendal, Demak"
K,"Jawa Tengah, eks Karesidenan Pati: Pati, Kudus, Jepara, Rembang, Blora, Grobogan"
KB,Kalimantan Barat
KH,Kalimantan Tengah
KT,Kalimantan Timur
KU,Kalimantan Utara
L,Jawa Timur: Surabaya
M,Jawa Timur: Pulau Madura
N,"Jawa Timur, eks Karesidenan Malang: Kabupaten Malang, Kota Malang, Kabupaten Pasuruan, Kota Pasuruan, Lumajang, Batu"
P,"Jawa Timur, eks Karesidenan Besuki: Bondowoso, Situbondo, Jember, Banyuwangi"
PA,"Papua, Papua Tengah, Papua Pegunungan"
PB,Papua Barat
PS,Papua Selatan
PY,Papua Barat Daya
R,"Jawa Tengah, eks Karesidenan Banyumas: Banyumas, Cilacap, Purbalingga, Banjarnegara"
S,"Jawa Timur, eks Karesidenan Bojonegoro: Bojonegoro, Kabupaten Mojokerto, Kota Mojokerto, Tuban, Lamongan, Jombang"
SB,Surabaya: Becak
T,"Jawa Barat, eks Karesidenan Karawang: Purwakarta, Karawang, Subang"
W,"Jawa Timur, eks Karesidenan Surabaya di luar Kota Surabaya: Sidoarjo, Gresik"
Z,"Jawa Barat, eks Karesidenan Priangan Timur: Garut, Kabupaten Tasikmalaya, Kota Tasikmalaya, Sumedang, Ciamis, Pangandaran, Banjar"
